State_Code,Amount
1,"80,252,357.96"
2,"12,923,425"
4,"106,385,758.47"
5,"53,093,375"
6,"697,692,605.65"
8,"94,517,217.53"
9,"78,337,128"
10,"17,042,808.28"
12,"375,577,051.88"
13,"185,536,804.28"
15,"27,596,016.47"
16,"555,825"
17,"215,210,033.28"
18,"3,681,475"
19,"1,218,775"
20,"34,928,103"
21,"64,662,819"
22,"66,842,952.81"
23,"814,650"
24,"111,539,204.45"
25,"114,496,317.68"
26,"128,641,758.76"
27,"66,952,173"
28,"4,087,525"
29,"94,304,042.95"
30,"12,679,543.25"
31,"1,243,243"
32,"57,430,242.95"
33,"28,940,289.95"
34,"199,742,948.76"
35,"29,250,348.30"
36,"400,992,351.02"
37,"107,873,906.58"
38,"340,250"
39,"179,189,062.15"
40,"50,690,049"
41,"47,216,504.17"
42,"226,972,330.76"
44,"21,828,944"
45,"78,870,682.62"
46,"9,529,275"
47,"2,952,675"
48,"399,263,848.67"
49,"33,207,817.20"
50,"10,342,809"
51,"153,715,174.94"
53,"94,830,522.20"
54,"32,806,054.53"
55,"70,797,326.09"
56,"10,889,875"
