State_Code,Avg,rate,dti
1,"11,072.51",0.118247124,14.07280974
2,"12,777.16",0.128030864,14.79444444
,,,
4,"10,679.96",0.122113379,13.1537415
5,"10,347.26",0.116331707,15.31105691
6,"11,043.49",0.121319606,12.83909641
,,,
8,"11,230.59",0.117672854,13.56155303
9,"11,293.80",0.11918687,12.90188329
10,"9,971.27",0.119630702,13.91403509
,,,
12,"10,475.40",0.119615286,13.53197075
13,"11,016.99",0.119182416,13.99551823
,,,
15,"10,817.53",0.125845402,13.85264368
16,"9,958.33",0.115116667,14.53666667
17,"11,224.28",0.120327869,13.27420328
18,"8,408.33",0.108011111,15.97111111
19,"11,290.00",0.08974,12.91
20,"10,812.22",0.117824265,14.08996324
21,"10,799.92",0.11899419,14.0011315
22,"10,231.88",0.116981651,14.15247706
23,"3,066.67",0.104866667,9.71
24,"11,243.39",0.124807014,12.86465403
25,"11,177.16",0.11838192,12.62875744
26,"10,932",0.119462327,13.55943213
27,"10,102.64",0.116612662,13.55892857
28,"6,961.84",0.1179,14.99526316
29,"10,490.38",0.116918805,14.35120991
30,"10,118.24",0.119661176,13.70847059
31,"6,340.00",0.11814,16.282
32,"10,702.81",0.125360643,13.54853414
33,"11,436.77",0.116819186,14.23639535
34,"11,527.47",0.122352615,12.84421024
35,"10,071.84",0.11669,13.80563158
36,"11,017.82",0.120899424,12.23907781
37,"11,189.10",0.120402408,13.87217998
,,,
39,"10,698",0.120233442,14.5202447
40,"11,136.33",0.118871333,14.10166667
41,"10,407.15",0.119656319,13.6895122
42,"10,433.69",0.116749901,13.84981567
,,,
44,"9,286.18",0.119076884,12.64663317
45,"10,673.31",0.118416102,13.74557203
46,"9,654.30",0.114635937,14.7528125
47,"7,688.24",0.105611765,11.59176471
48,"11,409.06",0.120472824,13.93717996
49,"10,985.52",0.120444402,13.29135135
50,"9,059.26",0.112231481,13.51944444
51,"11,327.02",0.121873722,13.39389915
,,,
53,"10,805.37",0.122359264,13.127019
54,"10,750.28",0.117664407,15.0760452
55,"11,049.57",0.119384783,13.43306522
56,"10,880.72",0.126060241,14.21590361
