State_Code,AvgFunded,rate,dti,AvgFundedA,rateA,dtiA,State_Abbr
1,"8,152.08",0.139458333,16.52083333,"11,072.51",0.118247124,14.07280974,AL
2,"8,100",0.144166667,17.90333333,"12,777.16",0.128030864,14.79444444,AK
4,"7,619.57",0.140908696,17.65391304,"10,679.96",0.122113379,13.1537415,AZ
5,"3,350",0.11004,14.172,"10,347.26",0.116331707,15.31105691,AR
6,"8,989.12",0.137668707,15.19884354,"11,043.49",0.121319606,12.83909641,CA
8,"6,506.25",0.13471875,14.9509375,"11,230.59",0.117672854,13.56155303,CO
9,"7,814.42",0.11565,10.13038462,"11,293.80",0.11918687,12.90188329,CT
10,"4,812.50",0.16675,21.165,"9,971.27",0.119630702,13.91403509,DE
12,"7,421.06",0.129834646,12.29346457,"10,475.40",0.119615286,13.53197075,FL
13,"8,835.48",0.136598387,13.19290323,"11,016.99",0.119182416,13.99551823,GA
15,"5,166.67",0.123933333,15.92666667,"10,817.53",0.125845402,13.85264368,HI
16,"4,200",0.126066667,17.05,"9,958.33",0.115116667,14.53666667,ID
17,"7,836.11",0.141841667,15.185,"11,224.28",0.120327869,13.27420328,IL
18,"5,785",0.13276,9.725,"8,408.33",0.108011111,15.97111111,IN
19,"6,060.71",0.143928571,12.29857143,"11,290.00",0.08974,12.91,IA
20,"5,811.67",0.13056,14.876,"10,812.22",0.117824265,14.08996324,KS
21,"7,318.75",0.14145,17.505,"10,799.92",0.11899419,14.0011315,KY
22,"6,042.86",0.109871429,7.748571429,"10,231.88",0.116981651,14.15247706,LA
23,"0.0",0,0,"3,066.67",0.104866667,9.71,ME
24,"8,978.03",0.145687879,14.27878788,"11,243.39",0.124807014,12.86465403,MD
25,"7,560.42",0.130833333,11.16791667,"11,177.16",0.11838192,12.62875744,MA
26,"9,241.67",0.143104167,17.63541667,"10,932",0.119462327,13.55943213,MI
27,"7,622.92",0.143541667,17.15166667,"10,102.64",0.116612662,13.55892857,MN
28,"7,562.50",0.134925,13.27,"6,961.84",0.1179,14.99526316,MS
29,"5,930.92",0.136289474,14.0131579,"10,490.38",0.116918805,14.35120991,MO
30,"12,766.67",0.1283,18.145,"10,118.24",0.119661176,13.70847059,MT
31,"9,541.67",0.136983333,10.20166667,"6,340.00",0.11814,16.282,NE
32,"8,326.39",0.135616667,12.92777778,"10,702.81",0.125360643,13.54853414,NV
33,"8,936.11",0.142433333,17.87555556,"11,436.77",0.116819186,14.23639535,NH
34,"6,781.36",0.135067273,13.76345455,"11,527.47",0.122352615,12.84421024,NJ
35,"10,166.67",0.149388889,18.15555556,"10,071.84",0.11669,13.80563158,NM
36,"7,964.95",0.129845794,11.30317757,"11,017.82",0.120899424,12.23907781,NY
37,"6,579.17",0.133566667,11.88611111,"11,189.10",0.120402408,13.87217998,NC
39,"6,648.08",0.1409,15.915,"10,698",0.120233442,14.5202447,OH
40,"5,485",0.13476,13.66,"11,136.33",0.118871333,14.10166667,OK
41,"6,500",0.13125,12.8925,"10,407.15",0.119656319,13.6895122,OR
42,"7,205.92",0.139371053,15.32526316,"10,433.69",0.116749901,13.84981567,PA
44,"5,170.83",0.137933333,9.385,"9,286.18",0.119076884,12.64663317,RI
45,"6,590.63",0.1426625,15.23125,"10,673.31",0.118416102,13.74557203,SC
46,"3,937.50",0.11965,20.655,"9,654.30",0.114635937,14.7528125,SD
47,"5,973.33",0.13424,16.89,"7,688.24",0.105611765,11.59176471,TN
48,"7,062.70",0.134580328,16.45885246,"11,409.06",0.120472824,13.93717996,TX
49,"7,405.56",0.143866667,15.40222222,"10,985.52",0.120444402,13.29135135,UT
50,"2,500",0.0807,15.09,"9,059.26",0.112231481,13.51944444,VT
51,"10,421.21",0.134269697,17.09515152,"11,327.02",0.121873722,13.39389915,VA
53,"7,708.75",0.14267,17.0425,"10,805.37",0.122359264,13.127019,WA
54,"0.0",0,0,"10,750.28",0.117664407,15.0760452,WV
55,"8,307.89",0.135484211,15.58105263,"11,049.57",0.119384783,13.43306522,WI
56,"10,000",0.1059,17.96,"10,880.72",0.126060241,14.21590361,WY
